tick,temps_s,x,y,z,vx,vy,vz,vitesse,vitesse_horizontale,vitesse_verticale,pression,masse,poids,portance,poussee,trainee,resultante_y,gaz_total,gaz_capacite,regime_max,stress_su,capacite_su,au_sol,surcharge,f_gravite_x,f_gravite_y,f_gravite_z,f_ballon_x,f_ballon_y,f_ballon_z,f_ballon_x,f_ballon_y,f_ballon_z,f_ballon_x,f_ballon_y,f_ballon_z,f_helice@62.4.2_x,f_helice@62.4.2_y,f_helice@62.4.2_z,f_helice@62.4.22_x,f_helice@62.4.22_y,f_helice@62.4.22_z,f_helice@66.4.12_x,f_helice@66.4.12_y,f_helice@66.4.12_z,f_trainee_x,f_trainee_y,f_trainee_z
130,6.5,-0.0,9.7474,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.23731,2116.25,23278.75,8846.78,0.0,0.0,-14431.973,433.33,4505,256.0,0.0,8192.0,1,0,0.0,-23278.75,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
135,6.75,-0.0,9.7474,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.23731,2116.25,23278.75,8846.78,0.0,0.0,-14431.973,433.33,4505,256.0,0.0,8192.0,1,0,0.0,-23278.75,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
140,7.0,-0.0,9.7474,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.23731,2116.25,23278.75,8846.78,0.0,0.0,-14431.973,433.33,4505,256.0,0.0,8192.0,1,0,0.0,-23278.75,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
145,7.25,-0.0,9.7474,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.23731,2116.25,23278.75,8846.78,0.0,0.0,-14431.973,433.33,4505,256.0,0.0,8192.0,1,0,0.0,-23278.75,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
150,7.5,-0.0,9.7474,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.23731,2116.25,23278.75,8846.78,0.0,0.0,-14431.973,433.33,4505,256.0,0.0,8192.0,1,0,0.0,-23278.75,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
155,7.75,-0.0,9.7474,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.23731,2116.25,23278.75,8846.78,0.0,0.0,-14431.973,433.33,4505,256.0,0.0,8192.0,1,0,0.0,-23278.75,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
160,8.0,-0.0,9.7474,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.23731,2116.25,23278.75,8846.78,0.0,0.0,-14431.973,433.33,4505,256.0,0.0,8192.0,1,0,0.0,-23278.75,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
165,8.25,-0.0,9.7474,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.23731,2116.25,23278.75,8846.78,0.0,0.0,-14431.973,433.33,4505,256.0,0.0,8192.0,1,0,0.0,-23278.75,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
170,8.5,-0.0,9.7474,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.23731,2116.25,23278.75,8846.78,0.0,0.0,-14431.973,433.33,4505,256.0,0.0,8192.0,1,0,0.0,-23278.75,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
175,8.75,-0.0,9.7474,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.23731,2116.25,23278.75,8846.78,0.0,0.0,-14431.973,433.33,4505,256.0,0.0,8192.0,1,0,0.0,-23278.75,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,0.0,5988.588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
