tick,temps_s,x,y,z,vx,vy,vz,vitesse,vitesse_horizontale,vitesse_verticale,pression,masse,poids,portance,poussee,trainee,resultante_y,gaz_total,gaz_capacite,regime_max,stress_su,capacite_su,au_sol,surcharge,f_gravite_x,f_gravite_y,f_gravite_z,f_ballon_x,f_ballon_y,f_ballon_z,f_helice@11.10.10_x,f_helice@11.10.10_y,f_helice@11.10.10_z,f_helice@21.10.10_x,f_helice@21.10.10_y,f_helice@21.10.10_z,f_trainee_x,f_trainee_y,f_trainee_z
985,49.25,0.0,156.1629,0.0,0.0,0.05214,0.0,0.05214,0.0,0.05214,0.68819,1856.75,20424.25,20439.32,0.0,38.66,-23.589,1800.0,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,20439.319,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-38.658,-0.0
990,49.5,0.0,156.1755,0.0,0.0,0.04908,0.0,0.04908,0.0,0.04908,0.68815,1856.75,20424.25,20438.28,0.0,36.39,-22.363,1800.0,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,20438.277,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-36.391,-0.0
995,49.75,0.0,156.1873,0.0,0.0,0.04618,0.0,0.04618,0.0,0.04618,0.68812,1856.75,20424.25,20437.3,0.0,34.24,-21.195,1800.0,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,20437.297,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-34.241,-0.0
1000,50.0,0.0,156.1984,0.0,0.0,0.04343,0.0,0.04343,0.0,0.04343,0.68809,1856.75,20424.25,20436.37,0.0,32.21,-20.081,1800.0,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,20436.374,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-32.205,-0.0
1005,50.25,0.0,156.2089,0.0,0.0,0.04082,0.0,0.04082,0.0,0.04082,0.68806,1856.75,20424.25,20435.51,0.0,30.28,-19.019,1800.0,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,20435.507,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-30.276,-0.0
1010,50.5,0.0,156.2187,0.0,0.0,0.03836,0.0,0.03836,0.0,0.03836,0.68803,1856.75,20424.25,20434.69,0.0,28.45,-18.008,1800.0,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,20434.692,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-28.45,-0.0
1015,50.75,0.0,156.228,0.0,0.0,0.03602,0.0,0.03602,0.0,0.03602,0.68801,1856.75,20424.25,20433.93,0.0,26.72,-17.044,1800.0,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,20433.926,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-26.721,-0.0
1020,51.0,0.0,156.2366,0.0,0.0,0.03382,0.0,0.03382,0.0,0.03382,0.68798,1856.75,20424.25,20433.21,0.0,25.08,-16.127,1800.0,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,20433.207,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-25.084,-0.0
1025,51.25,0.0,156.2448,0.0,0.0,0.03173,0.0,0.03173,0.0,0.03173,0.68796,1856.75,20424.25,20432.53,0.0,23.54,-15.254,1800.0,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,20432.532,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-23.537,-0.0
1030,51.5,0.0,156.2524,0.0,0.0,0.02975,0.0,0.02975,0.0,0.02975,0.68794,1856.75,20424.25,20431.9,0.0,22.07,-14.424,1800.0,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,20431.9,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-22.073,-0.0
1035,51.75,0.0,156.2596,0.0,0.0,0.02788,0.0,0.02788,0.0,0.02788,0.68792,1856.75,20424.25,20431.31,0.0,20.69,-13.633,1800.0,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,20431.306,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-20.689,-0.0
1040,52.0,0.0,156.2663,0.0,0.0,0.02612,0.0,0.02612,0.0,0.02612,0.6879,1856.75,20424.25,20430.75,0.0,19.38,-12.882,1800.0,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,20430.75,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-19.382,-0.0
