tick,temps_s,x,y,z,vx,vy,vz,vitesse,vitesse_horizontale,vitesse_verticale,pression,masse,poids,portance,poussee,trainee,resultante_y,gaz_total,gaz_capacite,regime_max,stress_su,capacite_su,au_sol,surcharge,f_gravite_x,f_gravite_y,f_gravite_z,f_ballon_x,f_ballon_y,f_ballon_z,f_ballon_x,f_ballon_y,f_ballon_z,f_ballon_x,f_ballon_y,f_ballon_z,f_helice@63.4.2_x,f_helice@63.4.2_y,f_helice@63.4.2_z,f_helice@63.4.22_x,f_helice@63.4.22_y,f_helice@63.4.22_z,f_helice@67.4.12_x,f_helice@67.4.12_y,f_helice@67.4.12_z,f_trainee_x,f_trainee_y,f_trainee_z
115,5.75,0.0,9.7806,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.23715,2070.75,22778.25,0.0,0.0,0.0,0.0,0.0,4505,256.0,0.0,8192.0,1,0,0.0,-22778.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
120,6.0,0.0,9.7535,-0.0,0.0,-0.54263,-0.0,0.54263,0.0,-0.54263,1.23728,2070.75,22778.25,0.0,0.0,0.0,-22778.25,0.0,4505,256.0,0.0,8192.0,0,0,0.0,-22778.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
125,6.25,0.0,9.7926,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,1.23709,2070.75,22778.25,0.0,0.0,0.0,0.0,0.0,4505,256.0,0.0,8192.0,1,0,0.0,-22778.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
130,6.5,0.0,9.7244,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.23743,2070.75,22778.25,0.0,0.0,0.0,0.0,0.0,4505,256.0,0.0,8192.0,1,0,0.0,-22778.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
135,6.75,0.0,9.6973,-0.0,0.0,-0.54263,-0.0,0.54263,0.0,-0.54263,1.23756,2070.75,22778.25,0.0,0.0,0.0,-22778.25,0.0,4505,256.0,0.0,8192.0,0,0,0.0,-22778.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
140,7.0,0.0,9.7644,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.23723,2070.75,22778.25,0.0,0.0,0.0,0.0,0.0,4505,256.0,0.0,8192.0,1,0,0.0,-22778.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
145,7.25,0.0,9.7348,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.23737,2070.75,22778.25,0.0,0.0,0.0,0.0,0.0,4505,256.0,0.0,8192.0,1,0,0.0,-22778.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
150,7.5,0.0,9.6805,-0.0,0.0,-0.54263,-0.0,0.54263,0.0,-0.54263,1.23764,2070.75,22778.25,0.0,0.0,608.14,0.0,0.0,4505,256.0,0.0,8192.0,1,0,0.0,-22778.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,608.14,0.0
155,7.75,0.0,9.5449,-0.0,0.0,-0.54263,-0.0,0.54263,0.0,-0.54263,1.23831,2070.75,22778.25,0.0,0.0,608.42,0.0,0.0,4505,256.0,0.0,8192.0,1,0,0.0,-22778.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,608.415,0.0
160,8.0,0.0,9.6275,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.23791,2070.75,22778.25,0.0,0.0,0.0,0.0,0.0,4505,256.0,0.0,8192.0,1,0,0.0,-22778.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
165,8.25,0.0,9.6275,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.23791,2070.75,22778.25,0.0,0.0,0.0,0.0,0.0,4505,256.0,0.0,8192.0,1,0,0.0,-22778.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
